,Latitude,Longitude,location,Occurrence Time,Zone / Region,Observer Affiliation,Associated Observation,# Avalanches:,Aspect:,Slope Angle:,Elevation:,Vertical Fall:,Destructive Size:,Relative Size:,Type:,Bed Surface:,Width:,Trigger:,Occurrence Date,Observer type,Avalanche Summary,Slab Thickness:
0,48.402214,-114.13365,,,,,,,,,,,,,,,,,,,,
1,48.402214,-114.13365,Rescue Creek - south chutes,Not Reported,Flathead Range & Glacier NP,fac,View Observation,12,SE,35°,6000 ft,1000 ft,D1.5,R2,WL-Wet Loose,I-New/Old Interface,50 ft,N-Natural,"Apr 23, 2023 (Exact)",forecaster,Sustained sun and warming intitiated these slides. ,
2,48.402214,-114.13365,Rescue Creek - south chutes,Not Reported,Flathead Range & Glacier NP,fac,View Observation,3,SE,35°,6200 ft,1200 ft,D2,R2,WL-Wet Loose,I-New/Old Interface,50 ft,N-Natural,"Apr 23, 2023 (Exact)",forecaster,Sustained sun and warming intitiated these slides. ,
3,48.402214,-114.13365,Below Crystal Point,00:22 (Exact),Other,fac,View Observation,3,W,,5700 ft,20 ft,D1,R1,WL-Wet Loose,I-New/Old Interface,25 ft,AS-Skierc-Intentional,"Apr 20, 2023 (Exact)",public,Small wet loose avalanche(s) triggered over steep rollovers on small test slopes while skiing back to the loop. These avalanches failed predictably on the old snow/new snow interface and moved slowly downhill entraining storm snow until the slope flattened out (picture attached).,30 cm (1 ft)
4,48.402214,-114.13365,48.1078N / -113.8832W,Not Reported,Swan Range,fac,View Observation,1,SW,,6500 ft,,D2,,,,,N-Natural,"Apr 11, 2023 (Exact)",public,This slide occurred on a new glide crack that recently opened up above a larger crack first observed in late Feb. ,
5,48.402214,-114.13365,Flathead,Not Reported,Flathead Range & Glacier NP,fac,View Observation,2,N,,6500 ft,,D1.5,,SS-Soft Slab,I-New/Old Interface,100 ft,AS-Skierc-Intentional,"Apr 2, 2023 (Exact)",public,,20 cm (0.5 ft)
6,48.402214,-114.13365,Flathead,12:12 (Exact),Flathead Range & Glacier NP,fac,View Observation,1,N,40°,6300 ft,10 ft,D1,R1,SS-Soft Slab,I-New/Old Interface,25 ft,N-Naturalc-Intentional,"Apr 2, 2023 (Exact)",forecaster,,30 cm (1 ft)
7,48.402214,-114.13365,Flathead,12:19 (Exact),Flathead Range & Glacier NP,fac,View Observation,1,NW,38°,6400 ft,800 ft,D1.5,R1,SS-Soft Slab,I-New/Old Interface,20 ft,AS-Skierc-Intentional,"Apr 2, 2023 (Exact)",forecaster,,30 cm (1 ft)
8,48.402214,-114.13365,Crystal Creek,Not Reported,Flathead Range & Glacier NP,fac,View Observation,1,NE,35°,6200 ft,,D2,R2,SS-Soft Slab,I-New/Old Interface,300 ft,AR-Snowboarderu-Unintentional,"Apr 2, 2023 (Exact)",public,Triggered when rider jumped onto slope and fell. Rider able to esape debris.,25 cm (1 ft)
9,48.402214,-114.13365,Swan,Not Reported,Swan Range,fac,View Observation,1,,,,,D1,,SS-Soft Slab,I-New/Old Interface,,AM-Snowmobileu-Unintentional,"Apr 2, 2023 (Exact)",forecaster,,
10,48.402214,-114.13365,Heavens Peak - Heavens Gate,Not Reported,Other,fac,View Observation,4,E,,8200 ft,,D2.5,R3,U-Unknown,U-Unknown,2000 ft,N-Natural,"Apr 2, 2023 (Estimated)",public,"Estimate on date and size, did not get clear view of runouts. Largest continuous crown estimated over 2000' wide on maps in office.",
11,48.402214,-114.13365,Diamond Peak,Not Reported,Whitefish Range,fac,View Observation,1,E,,6700 ft,,D1.5,,HS-Hard Slab,I-New/Old Interface,,AM-Snowmobile,"Apr 2, 2023 (Exact)",public,,50 cm (1.5 ft)
