,location,Occurrence Time,Zone / Region,Observer Affiliation,Observation Date,Associated Observation,# Avalanches:,Aspect:,Aspect Range:,Elevation:,Destructive Size:,Type:,Problem Type:,Trigger:,Occurrence Date,Observer Name,Observer type,Latitude,Longitude,Avalanche Summary,Bed Surface:,Weak Layer Grain Type:,Slope Angle:,Vertical Fall:,Relative Size:,Width:,Terminus:,Weak Layer Burial Date:,Slab Thickness:,Caught/Carried:,Partly Buried-Not Critical:,Injured:
0,West and NW faces on Great Northern and Grant,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Mar 15, 2024",View Observation,8,W,"NW, W",7500 ft,D2,WL-Wet Loose,Wet Loose,N-Natural,"Mar 15, 2024 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,,,,,,,,,,,,,
1,West and Northwest faces of Great Northern and Grant,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Mar 15, 2024",View Observation,10,NW,W,7500 ft,D1,WL-Wet Loose,Wet Loose,N-Natural,"Mar 15, 2024 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,Observed many smaller Wet Loose piles around the fields of rollerballs. ,,,,,,,,,,,,
2,Great Northern,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Mar 15, 2024",View Observation,1,NW,,7800 ft,D2.5,HS-Hard Slab,Persistent Slab,N-Natural,"Mar 15, 2024 (Estimated)",Cam Johnson,forecaster,48.402214,-114.13365,Avalanche size is estimated. The debris pile was out of sight and it was a long way away. I assume this failed on the early February facet/crust. ,O-Old Snow,FC-Faceted Crystals,,,,,,,,,,
3,Skook Chutes,Not Reported,Whitefish Range,Flathead Avalanche Center,"Mar 15, 2024",View Observation,3,S,"SE, S, SW",6000 ft,D1.5,WL-Wet Loose,Wet Loose,N-Natural,"Mar 14, 2024 (Estimated)",Mark Dundas,forecaster,48.402214,-114.13365,"Two D1.5 wet loose slides slid on March 14, and one slid today, March 15.",S-New Snow,,38°,150 ft,R1,20 ft,MP - Middle of Path,,,,,
4,Kupunkamint Mountain,Not Reported,Other,USGS,"Mar 15, 2024",View Observation,1,NE,,7200 ft,D3,,,N-Natural,"Mar 14, 2024 (Estimated)",Erich Peitzsch,professional,48.402214,-114.13365,Date and time of occurrence unknown but forced to include a date of occurrence. Image from Milk River/Cut Bank divide (closest observation point). No other details since we viewed it from afar. Visible from Hwy 89 before Looking Glass junction. D size estimated (D3). Runout not visible.,,,,,,,U - Unknown,,,,,
5,swan crest,16:26 (Estimated),Swan Range,Flathead Avalanche Center,"Mar 14, 2024",View Observation,1,W,W,6800 ft,D1.5,WL-Wet Loose,Wet Loose,N-Natural,"Mar 13, 2024 (Estimated)",Jeff Metsky,professional,48.402214,-114.13365,wet loose on steep rocky terrain at 6800'. most likely triggered during afternoon warmup,I-New/Old Interface,,45°,150 ft,R1,200 ft,MP - Middle of Path,"Mar 12, 2024",30 cm (1 ft),,,
6,Flathead Range,Not Reported,Flathead Range & Glacier NP,Flathead Avalanche Center,"Mar 13, 2024",View Observation,3,NW,,6500 ft,D1,SS-Soft Slab,Wind Slab,AS-Skierc-Intentional,"Mar 13, 2024 (Exact)",Cam Johnson,forecaster,48.402214,-114.13365,We got a few very small slabs to pop on wind whales during the ascent. ,I-New/Old Interface,FC-Faceted Crystals,,,,,,,,,,
7,swan crest,15:00 (Estimated),Swan Range,Flathead Avalanche Center,"Mar 14, 2024",View Observation,3,SW,"SE, S, SW",5700 ft,D1,WL-Wet Loose,Wet Loose,N-Natural,"Mar 13, 2024 (Estimated)",Jeff Metsky,professional,48.402214,-114.13365,WL on SW aspects. all apeared to have failed yesterday afternoon during warmup.,I-New/Old Interface,,40°,150 ft,R1,50 ft,MP - Middle of Path,"Mar 12, 2024",10 cm (0.5 ft),,,
8,near swan crest,16:29 (Estimated),Swan Range,Flathead Avalanche Center,"Mar 14, 2024",View Observation,3,W,"W, SW",5800 ft,D1,WL-Wet Loose,Wet Loose,N-Natural,"Mar 13, 2024 (Estimated)",Jeff Metsky,professional,48.402214,-114.13365,multiple wet loose released on westerly aspect most likely during PM warmup. located near small steep convexities,I-New/Old Interface,,37°,75 ft,R1,40 ft,MP - Middle of Path,"Mar 12, 2024",15 cm (0.5 ft),,,
9,Elkcalf Mtn,Not Reported,Other,BNSF Avalanche Safety,"Mar 13, 2024",View Observation,1,NE,,6800 ft,D2,SS-Soft Slab,Wind Slab,N-Natural,"Mar 12, 2024 (Estimated)",,professional,48.402214,-114.13365,Looks like it was likely triggered sometime in past 48 and likely by a chunk of falling cornice from above ,I-New/Old Interface,,45°,400 ft,R2,150 ft,,,25 cm (1 ft),,,
