,author,date,zone,forecast,problems,bottom_line,discussion
0,Mark Dundas,2023-04-09,Whitefish Range,"{'upper': 'Moderate', 'middle': 'Moderate', 'lower': 'Low'}","[{""problem_type"": "" Wet Loose"", ""problem_number"": 1, ""likelihood"": ""possible"", ""size"": [""Small (D1)"", """", ""Large (D2)""], ""aspect_elevation"": {""upper"": [""north"", ""northeast"", ""east"", ""southeast"", ""south"", ""southwest"", ""west"", ""northwest""], ""middle"": [""north"", ""northeast"", ""east"", ""southeast"", ""south"", ""southwest"", ""west"", ""northwest""], ""lower"": []}, ""discussion"": ""Today will repeat the past few days as balmy daytime temperatures develop wet snow instabilities. The natural activity is mostly over on slopes that have received substantial warming. However, overnight temperatures around freezing result in a thin surface crust that will break down and allow riders to trigger a slide in the mushy surface snow. In terrain that has not experienced significant warming, today's temperatures might moisten the snow surface and initiate natural avalanches.\u00a0 With the highest temperatures of the season expected today, we anticipate Wet Loose avalanche problems to develop earlier in the day and become more widespread. Resulting slides may travel far on the underlying crust on solar aspects. Surface slides on shady slopes could trigger a larger avalanche on a buried weak layer. Upper-elevation locations exposed to south-southwest winds may remain frozen.\u00a0 Surfaces warming for the first time will develop rollerballs or pinwheels, precursors to a wet slide. Choose lower-angle slopes where you or your machine sink more than a few inches into the surface mush\u2014limit time spent in long-running gullies or above terrain traps where the snow can pile up deep.\u00a0""}]"," Warm temperatures overnight and today may increase the chance of wet snow avalanches. If you are sinking into mushy snow, choose lower-angled terrain to reduce your risk. 
This is the last daily forecast of the season. We will issue snowpack updates Monday, Wednesday, and Friday through April 28. Thank you for supporting the FAC.","Following an unusually cool winter and early spring, temperatures have felt balmy over the past few days. Today will be the fourth day of above-average temperatures and the third night of a poor refreeze. Yesterday, all mid-elevation stations reached the upper 30s to low 40s F, with the Tunnel Ridge snow (5895') topping out at a whopping 48F. Several upper elevation stations climbed above freezing, with Tunnel Ridge wind (6796') hitting 38F. As of 0400 this morning, temperatures remain at or above freezing at many mid-elevation stations with upper elevations at mid to upper 20sF. Today will be partly cloudy, with temperatures five or more degrees warmer than experienced over the past few days.
Temperatures tonight and Monday will be well above average and the warmest of the season. Rain associated with incoming Pacific moisture may occur at the upper elevations. We expect dangerous avalanche conditions to develop with wet snow instabilities on all aspects and elevations. Meltwater percolating into the snowpack may reach a near-surface weak layer and result in wet slab avalanches. 
Warm weather increases the potential for cornice fall and glide avalanches. Forecasting for either of these is difficult and imprecise, and we recommend safe travel protocols to limit getting tangled up with either of these beasts. While traveling ridgelines, give yourself an extra safety margin with what appears to be the edge, as these impressive wind features are often overhanging. Limit your time spent on slopes beneath these, as a cornice fall can trigger a large avalanche on the slope below. Glide cracks can fail catastrophically or melt in place. During periods of extended warming, avoid being on slopes where the seasonal snowpack is gliding downhill.
Have feedback for us? Let us know how we can serve you better. Special thanks to Friends of FAC for creating this survey: link here.
FAC will issue daily snowpack updates Monday, Wednesday, and Friday through April 28. We may update more frequently if we return to a snowier weather pattern. "
1,Rob Millspaugh,2023-04-08,Whitefish Range,"{'upper': 'Moderate', 'middle': 'Moderate', 'lower': 'Low'}","[{""problem_type"": "" Wet Loose"", ""problem_number"": 1, ""likelihood"": ""possible"", ""size"": [""Small (D1)"", """", ""Large (D2)""], ""aspect_elevation"": {""upper"": [""north"", ""northeast"", ""east"", ""southeast"", ""south"", ""southwest"", ""west"", ""northwest""], ""middle"": [""north"", ""northeast"", ""east"", ""southeast"", ""south"", ""southwest"", ""west"", ""northwest""], ""lower"": []}, ""discussion"": ""We are on a two-night run of poor refreezes. Current middle elevation temperatures are near freezing, with upper elevations slightly cooler. Any crusts that formed overnight will be thin and break down quickly today. Areas that received rain this morning will be particularly sloppy. Elsewhere, new snowfall will transition to moist with increasing temperatures and potential sunshine.\u00a0 Observations from yesterday (Friday) featured rollerballs and pinwheels on all aspects and elevations but not much in the way of Wet Loose avalanches. The snow surface on northerly slopes has recently transitioned to moist and may be more active today. Choose lower-angle slopes where you or your machine sink more than a few inches into the surface and limit time spent in long-running gullies or above terrain traps where the snow can pile up deep. ""}]","Wet snow may slide easily due to rain, warm temperatures and sunshine. Move to low angle terrain or make an early exit if you or your machine begin sinking into a mushy surface.","It’s been a while since I’ve woken up to rain. It seems like spring is finally winning out during our last weekend of advisories. Yesterday (Friday), I targeted northerly slopes in the Swan Range to see if any dry snow surfaces were holding out. Alas, I found roller balls, pinwheels, and some impressive glopping instead. Following a second consecutive night with poor refreeze, I anticipate this transition to continue today.
Some areas were lucky enough to pick up several inches of snow overnight. Stahl Peak in the northern Whitefish Range received a surprise 3” of snow and 0.5” SWE. Favored locations have the potential to see a couple more inches of accumulation this morning. New snow combined with moderate southwest winds will start drifting snow into small slabs along ridgelines, saddles, mid-slope gullies and ribs. These should generally be small in size and harmless to a rider unless they knock you off your feet and over a cliff. Consider steering around scalloped surfaces or dune-shaped features if you find more than a few inches of recent snow. New snow that transitions to wet for the first time can destabilize rapidly with warm temperatures and spring sunshine and run further on underlying crusts. 
Sustained warm temperatures increase the likelihood of cornice fall and glide crack failure. Continue to give these hazards a wide berth and stay out from under slopes where they’re looming. 
Have feedback for us? Let us know how we can serve you better. Special thanks to Friends of FAC for creating this survey: link here.
FAC will issue daily forecasts through Easter Sunday, April 9. Following this, we will give snowpack updates several times a week through April as conditions dictate. "
2,Mark Dundas,2023-04-07,Whitefish Range,"{'upper': 'Moderate', 'middle': 'Moderate', 'lower': 'Low'}","[{""problem_type"": "" Wet Loose"", ""problem_number"": 1, ""likelihood"": ""possible"", ""size"": [""Small (D1)"", """", ""Large (D2)""], ""aspect_elevation"": {""upper"": [""north"", ""northeast"", ""east"", ""southeast"", ""south"", ""southwest"", ""west"", ""northwest""], ""middle"": [""north"", ""northeast"", ""east"", ""southeast"", ""south"", ""southwest"", ""west"", ""northwest""], ""lower"": []}, ""discussion"": ""Yesterday, temperatures climbed well-above freezing at all mid and several upper-elevation weather stations. Field observations are limited, but we assume slopes receiving sustained sunshine experienced a Wet Loose avalanche cycle as last weekend's surface snow warmed. Slides were larger and more dangerous in the Flathead Range and southern Glacier Park, which benefited the most from the recent snowfall.\u00a0 Temperatures this morning are warm, with readings on either side of freezing at mid and upper elevations. The overnight refreezing of the snow surface was poor, and we expect only a thin, unsupportable surface crust in many locations. As temperatures warm, this crust should break down quickly, allowing you to sink into the mushy snow beneath and increase the chance that you could trigger a wet loose slide. Resulting slides may travel far on the underlying crust and could trigger a larger slide on a buried weak layer. Upper-elevation locations exposed to south-southwest winds may remain frozen.\u00a0 We are unsure if yesterday's warming affected shady aspects. Today's temperatures will top yesterday's and may affect snow in shady aspects. Slopes warming for the first time will develop rollerballs, which are a precursor to a wet slide. Choose lower-angle slopes where you or your machine sink more than a few inches into the surface mush\u2014limit time spent in long-running gullies or above terrain traps where the snow can pile up deep.\u00a0""}]","Warm temperatures overnight and today may increase the chance of wet snow avalanches. If you are sinking into mushy snow, choose lower-angled terrain to reduce your risk. ","Spring temperatures have finally arrived in the Flathead following an unusually cool winter and early spring. Yesterday, Stahl Peak (6030'), Noisy Basin (6040'), and Flattop (6300') reached the low 40's F with upper elevation stations at WMR and Tunnel Ridge climbing to the upper-30s. As of 0400 this morning, temperatures remain at or above freezing at many mid-elevation stations. Today will be cloudier than yesterday, but we can expect temperatures to be 5-8 degrees warmer.
Wet loose activity in March was limited by consistently cold overnight temperatures, which minimized their size and distribution. Today, instabilities will develop quickly as the thin eggshell-like surface crust breaks down as the day heats up. We expect shady aspects to warm and moisten at mid-elevations and possibly at uppers. Wet slides have the potential to gouge deeper into the snowpack as they descend in elevation.
Warm weather increases the potential for cornice fall and glide avalanches. Forecasting for either of these is difficult and imprecise, and we recommend safe travel protocols to limit getting tangled up with either of these beasts. While traveling ridgelines remain well back from what appears to be the edge, as these impressive wind features are often overhanging. Limit your time spent on slopes beneath these, as a large cornice fall can trigger a large avalanche on the slope below. Glide cracks can fail catastrophically or melt in place. During periods of extended warming, avoid being on slopes where the seasonal snowpack is gliding downhill.
Have feedback for us? Let us know how we can serve you better. Special thanks to Friends of FAC for creating this survey: link here.
FAC will issue daily forecasts through Easter Sunday, April 9. Following this, we will give snowpack updates several times a week through April as conditions dictate. "
3,Rob Millspaugh,2023-04-06,Whitefish Range,"{'upper': 'Low', 'middle': 'Low', 'lower': 'Low'}","[{""problem_type"": "" Wet Loose"", ""problem_number"": 1, ""likelihood"": ""likely"", ""size"": [""Small (D1)"", """"], ""aspect_elevation"": {""upper"": [""southeast"", ""south"", ""southwest"", ""west"", ""northwest""], ""middle"": [""southeast"", ""south"", ""southwest"", ""west"", ""northwest""], ""lower"": []}, ""discussion"": ""Today will be the warmest day since Saturday's snowfall, with the potential for temperatures nearing 40 degrees Fahrenheit at upper elevations. Observations this week indicated only minimal wet-loose activity and thin melt-freeze crusts. Abundant sun and warm temperatures have the potential to quickly break down surface crusts and transition dry snow to wet on aspects SE-S-NW. Slides will be largest in areas favored by Saturday's snowfall. Rollerballs and pinwheels are indicators that the surface snow has become wet and is ready to slide. This evidence should be your cue to seek out slopes shaded from the sun or make an earlier exit. Plan your day to avoid travel on or under steep, sun-baked slopes.\u00a0""}]",Sunshine and warm temperatures may cause wet snow to slide easily. Rollerballs and pinwheels are clues that it is time to retreat from sun-baked slopes.,"Safe and enjoyable riding might require a bit of a two-step today. As the snow becomes warm and wet on slopes tilted toward the sun, you’ll be inclined to seek out shadier aspects. When doing so, keep your head up for instabilities related to wind-drifted snow and buried weak layers. 
Relatively cold temperatures have preserved Saturday’s snowfall, and Southwesterly winds increased to threshold speeds for transporting snow yesterday afternoon. This combination may build slabs of wind-drifted snow along ridgelines, saddles, and midslope ribs and gullies. These will generally be small in size in the Swan and Whitefish Ranges. Steer around steep slopes with a scalloped surface or dune-shaped features when accessing steep, shaded slopes. 
In the Flathead Range and southern Glacier National Park, where up to a foot of snow fell last weekend, wind-drifted snow will fall onto a weak structure that produced large avalanches and surprised multiple parties Sunday. Dig a pit to determine whether this weak structure is present and use snowpack tests or small inconsequential slopes to assess its sensitivity. Fall back to low-angle terrain for the greatest safety margin. 
Have feedback for us? Let us know how we can serve you better. Special thanks to Friends of FAC for creating this survey: link here.
FAC will issue daily forecasts through Easter Sunday, April 9. Following this, we will give snowpack updates several times a week through April as conditions dictate. "
4,Sarah Williams,2023-04-05,Whitefish Range,"{'upper': 'Low', 'middle': 'Low', 'lower': 'Low'}",[],Localized spring weather may keep you on your toes today.  Steer around isolated pockets of wind-drifted snow along ridgelines. Keep in mind that low danger still has danger in the title.,"Last Sunday (April 2nd) was an active period of avalanche activity. Most of the reported slides came from the Flathead Range and southern Glacier National Park. What was notable about this activity was that experienced riders were surprised by remotely-triggered avalanches, avalanches breaking wider than expected, and some avalanches wrapping around to different slope aspects. These are characteristics of a Persistent Slab problem, rather than a Storm Slab. Observers identified that these slides were primarily on shaded aspects (northwest, north, and east) and that the 8 to 12 inches of new snow failed on a layer of faceted grains, at the interface of new and old snow. 
We removed the Wind Slab problem in the Swan and the Whitefish Range, given that these areas received less snow and winds have been generally light over the past 48 hours. Pockets of isolated wind slabs may still lurk along the side of ridgelines. Pay attention to dune-shaped pillows of snow and steer clear of these drifts.
Since then, the snowpack is trending towards increasingly stable conditions, with some uncertainty about how long this persistent weak layer will be reactive. Given the current unsettled weather pattern of a mix of sun, clouds, convective snow showers, and below-normal ambient air temperatures, today’s avalanche hazards run a wide range of possibilities. As you travel, you may encounter localized weather that is isolated to a relatively small area.  If the sun does come out for an extended period, wet instabilities are possible. On the other end of the spectrum, light snow accumulations from convective precipitation may add unconsolidated snow to our weekend's accumulations. Additionally, if moderate southwest winds develop, new snow may build drifts of dense snow. These wind slabs may be small, but still capable of knocking the unsuspecting rider off their feet. 
With this in mind, we hope that in the final week of our daily forecasts for the 2022-2023 winter season, our community members have the tools and information needed to adjust travel plans based on changing conditions. Have feedback for us? Let us know how we can serve you better with our annual survey. Special thanks to Friends of FAC for creating this survey: link here.
FAC will issue daily forecasts through Easter Sunday, April 9. Following this, we will give snowpack updates several times a week through April if conditions dictate. "
5,Cam Johnson,2023-04-04,Whitefish Range,"{'upper': 'Low', 'middle': 'Low', 'lower': 'Low'}","[{""problem_type"": "" Wind Slab"", ""problem_number"": 1, ""likelihood"": ""unlikely"", ""size"": [""Small (D1)"", """"], ""aspect_elevation"": {""upper"": [""north"", ""northeast"", ""east"", ""southeast"", ""northwest""], ""middle"": [], ""lower"": []}, ""discussion"": ""Look for and steer around signs of obvious drifting near ridgelines and on cross-loaded gullies further downslope. Pillowy-looking surfaces or surfaces with a textured appearance are visual clues of a Wind Slab. Slabs of drifted snow should be harmless in size by themselves, though they could be consequential if caught above a cliff or stand of trees. Slopes sheltered from the wind will hold safer and better riding conditions.\u00a0""}]",Riders found generally stable avalanche conditions this past weekend. Small slabs of drifted snow may remain sensitive to the weight of a rider due to the weak snow they rest on. Stear around dune-shaped drifts while seeking out snow sheltered from the wind. ,"On Friday and Saturday, a winter storm brought 8 to 12 inches of snow to the Flathead Range/Glacier National Park forecast zone. The Swan Range and Whitefish Range received only 2 to 4 inches of snow. With this snowfall came moderate wind speeds, which are ripe speeds for drifting snow into thicker slabs. Since then, we have received numerous reports of natural avalanches, human-triggered avalanches, and signs of unstable snow. Here are a few noteworthy observations from each forecast zone (Flathead, Glacier National Park, Whitefish, Swan). 
On shaded aspects, storm snow fell on a weak layer of facets. This sugary snow is the culprit for recent avalanche activity. Unfortunately, this weak layer may be slow to heal, which is one of the reasons we transitioned to a Persistent Slab avalanche problem in the Flathead Range. Another reason is that avalanches are breaking in surprising ways by wrapping around terrain features and being remotely triggered. This requires a wider margin for error by putting more space between you and the steep slopes that harbor this structure. This structure is primarily found on northerly aspects above roughly 6000 feet.
On south and west-facing slopes, recent snow fell on a melt-freeze crust. Observations suggest that it is less likely to trigger a slab avalanche on those aspects. However, if you plan to travel on solar aspects today, keep an eye on cloud cover and surface warming. If the sun sticks its face out longer than expected, plan to see some rollerballs and small wet loose activity out of steep rocky areas. This will be more common in the Flathead Range where more snow fell. A sun crust may already exist on some solar aspects.
Continue to steer around signs of wind-drifted snow in the Swan and Whitefish Ranges. Slabs of drifted snow sit on weak snow that will be slow to heal. Pockets of drifted snow should be easy to identify by their textured appearance. 
FAC will issue daily forecasts through Easter Sunday, April 9. Following this, we will give snowpack updates several times a week through April if conditions dictate. "
6,Cam Johnson,2023-04-03,Whitefish Range,"{'upper': 'Moderate', 'middle': 'Low', 'lower': 'Low'}","[{""problem_type"": "" Wind Slab"", ""problem_number"": 1, ""likelihood"": ""possible"", ""size"": [""Small (D1)"", """"], ""aspect_elevation"": {""upper"": [""north"", ""northeast"", ""east"", ""southeast"", ""northwest""], ""middle"": [], ""lower"": []}, ""discussion"": ""Look for and steer around signs of obvious drifting near ridgelines and on cross-loaded gullies further downslope. Pillowy-looking surfaces or surfaces with a textured appearance are visual clues of a Wind Slab. Slabs of drifted snow should be harmless in size by themselves, though they could be consequential if caught above a cliff or stand of trees. Slopes sheltered from the wind will hold safer and better riding conditions.\u00a0""}]",A couple of inches of recent snow and moderate winds formed drifts downwind of ridgelines and saddles. Pockets of wind-drifted snow will be small and easy to manage. Stear around dune-shaped drifts while seeking out soft snow sheltered from the wind.  ,"A recent storm divided our forecast area into two different teams. Team Flathead/Glacier National Park led the charge with roughly 12 inches of storm snow. Team Whitefish and Swan Range came in last with roughly 2 to 4 inches of snow. Unfortunately, team Flathead/Glacier National Park also took the lead yesterday (Sunday) with the most human-triggered avalanches. Two avalanches resulted in people getting caught and carried in large slides, and another avalanche resulted in a close call. The amount of recent snow plays a key role in the avalanche problems and variability among the forecast zone.
Flathead Range/Glacier National Park
We transition to a Persistent Slab Problem in the Flathead Range/Glacier National Park due to travel advice and the grain type that avalanches are failing on. More snow fell, which resulted in avalanches failing in wind-sheltered and wind-loaded terrain. Although slabs are relatively soft, they are behaving more like a Persistent Slab than your run-of-the-mill storm snow avalanche problem. For example, my party triggered an avalanche that propagated 600 feet wide, wrapped around a sharp ridgeline, and put debris down into two separate drainages (observation). Other parties remotely triggered avalanches, with one slide stepping down to a deeper buried weak layer (observation). 
We are uncertain how long this problem may linger, but we suspect avalanches will remain reactive to the weight of a person for the near future. 
Whitefish Range/Swan Range
Generally speaking, not enough snow fell to form a slab in the Whitefish Range and the Swan Range. However, sustained winds drifted the few inches of snow into small slabs on the downwind side of ridges and gullies. Slabs of drifted snow may still be reactive to the weight of a rider, but likely small in size and confined to wind-drifted features. I would expect to see slides similar to the ones found in this observation. These should be easy to manage by giving them a wide berth and by sticking to wind-sheltered slopes. 
We received no observations from the Swan Range, giving us a slightly higher degree of uncertainty there. IF you find more snow than expected, dial back your terrain choices and give steep slopes a wider margin for error. 
FAC will issue daily forecasts through Easter Sunday, April 9. Following this, we will give snowpack updates several times a week through April if conditions dictate. "
7,Mark Dundas,2023-04-02,Whitefish Range,"{'upper': 'Moderate', 'middle': 'Low', 'lower': 'Low'}","[{""problem_type"": "" Wind Slab"", ""problem_number"": 1, ""likelihood"": ""possible"", ""size"": [""Small (D1)"", """", ""Large (D2)""], ""aspect_elevation"": {""upper"": [""north"", ""northeast"", ""east"", ""southeast"", ""northwest""], ""middle"": [""north"", ""northeast"", ""east"", ""southeast"", ""northwest""], ""lower"": []}, ""discussion"": ""Yesterday's storm deposited up to 10 inches of snow in the Flathead Range, with 3-4 inches in the Swan and Whitefish. During the day, moderate to strong southwesterly winds transported snow onto leeward aspects at mid and upper elevations. Sustained wind speeds diminished overnight, but gusts remain strong enough to continue moving snow throughout today. Locations favored by recent snowfall will have the thickest and most extensive slabs. Look for these features near ridgelines and mid-slope terrain features like ribs and gullies.\u00a0 Slabs\u00a0may form on weak\u00a0faceted snow or crusts, inhibiting bonding and potentially propagating\u00a0wider than expected. Blowing snow will indicate which slopes are most dangerous. You've likely found a wind slab if the soft, light snow you're moving through suddenly becomes heavy (dense) or you run up onto stiff snow that supports your weight. Cracks shooting out from your skis or sled indicate the slab's instability. Choose terrain sheltered from the winds for a safer, more enjoyable experience. \u00a0""}]",Light snowfall and breezy conditions keep the danger elevated at upper elevations. You could trigger an avalanche where the winds have formed drifts or stiffened the snow surface. Sheltered terrain should provide an enjoyable safer experience.,"Yesterday's storm favored the Flathead Range and southern Glacier Park. This morning there is a settled depth of 5"" on the valley floor in John F. Stevens Canyon at Shed 4 (4557'),  7 inches at Marias Pass (5230'), 9 inches at Shed 11 (6400'), and 10"" at Tunnel Ridge (5895'). Hooray! Unfortunately, Noisy Basin in the Swan Range only picked up 4 inches, with a disappointing 2-3 inches in the Whitefish Range.
Westerly winds ramped up during the day Saturday with sustained speeds of moderate and extreme (gale force) gusts. A moderate classification (17-25 mph) is vital because snow generally begins to drift at speeds above 15 mph. Extreme winds are over 38 mph and lead to snow being transported further downslope than commonly seen or the snow sublimates into the atmosphere. Gusts topped 50 mph at many stations yesterday, with Tunnel Ridge taking home the gold with a 72 mph reading. The Aeneas Ridge wind sensor appears rimed and has not conveyed accurate wind data since 1800 yesterday.  
Due to yesterday's snowfall below forecasted in the Swan and Whitefish Range, we are dropping to LOW danger in the middle elevation band. We are also removing the Loose Dry problem from these zones. Loose Dry slides are still possible in these areas, but the size and likelihood are not significant enough to list.
Yesterday, an experienced rider in the Flathead Range noted 4 inches of new snow, and gusting and swirling winds, but there was no slab formation in the area he traveled up to 6500 feet. This individual triggered a sluff on their north-facing descent that traveled 1200 feet, listed in the Flathead Range Loose Dry problem. FAC's friend in the Swan Range noted an intense graupel shower which left 1 inch at 3000 feet. They also noted moderate to strong winds, which diminished in the evening. Upper elevations were obscured, so there were no estimates for transport. 
There remains a slim chance that you could trigger a slide on a buried weak layer resulting in a large avalanche. Thin, wind-swept, or rocky areas are locations where the layer is closest to the surface and where your weight is most likely to affect this weak snow.
FAC will issue daily forecasts through Easter Sunday, April 9. Following this, we will give snowpack updates several times a week through April if conditions dictate. 
 "
8,Mark Dundas,2023-04-01,Whitefish Range,"{'upper': 'Moderate', 'middle': 'Moderate', 'lower': 'Low'}","[{""problem_type"": "" Dry Loose"", ""problem_number"": 2, ""likelihood"": ""possible"", ""size"": [""Small (D1)"", """"], ""aspect_elevation"": {""upper"": [""north"", ""northeast"", ""east"", ""southeast"", ""south"", ""southwest"", ""west"", ""northwest""], ""middle"": [""north"", ""northeast"", ""east"", ""southeast"", ""south"", ""southwest"", ""west"", ""northwest""], ""lower"": []}, ""discussion"": ""If today's snow arrives as forecast, natural and triggered sluffs may occur on steep slopes sheltered from the wind this afternoon. Today's snow will fall onto a crust on many slopes, which may limit bonding. Due to the underlying crust, sluffs may travel surprisingly far and fast.\u00a0 We anticipate today's sluffs to be generally harmless unless you get knocked off your feet and pushed into a surface obstacle or a depression where the snow can pile up deep. Utilize sluff management and be aware of this problem while traveling in long-running gullies or above terrain traps. \u00a0 \u00a0""}, {""problem_type"": "" Wind Slab"", ""problem_number"": 1, ""likelihood"": ""possible"", ""size"": [""Small (D1)"", """", ""Large (D2)""], ""aspect_elevation"": {""upper"": [""north"", ""northeast"", ""east"", ""southeast"", ""northwest""], ""middle"": [""north"", ""northeast"", ""east"", ""southeast"", ""northwest""], ""lower"": []}, ""discussion"": ""Developing snowfall and moderate to strong southwesterly winds may form thin slabs of snow on leeward aspects. Slabs should thicken throughout the day and become more extensive in areas favored by today's snowfall. Look for them near ridgelines and mid-slope terrain features like ribs and gullies.\u00a0 Slabs\u00a0may form on weak\u00a0faceted snow or crusts, inhibiting bonding and potentially propagating\u00a0wider than expected. Blowing snow will indicate which slopes are most dangerous. You've likely found a wind slab if the soft, light snow you're moving through suddenly becomes heavy (dense) or you run up onto stiff snow that supports your weight. Cracks shooting out from your skis or sled indicate the slab's instability. Choose terrain sheltered from the winds for a safer, more enjoyable experience. \u00a0""}]",The avalanche danger may rise later today as snow and wind return to the Flathead. You could trigger an avalanche where the winds have formed drifts or stiffened the snow surface. Choose sheltered terrain to enjoy today's refresh safely.,"Snow returns to the Flathead Valley today with a Winter Weather Advisory from 6 AM this morning to 9 AM Sunday for the West Glacier Region. Unfortunately, moderate to strong winds at all elevations will accompany the new snow. There is a Wind Advisory from 9 AM this morning to 8 PM this evening for the Flathead Valley.
The Tunnel Ridge station (5895') picked up 3 inches of snow overnight, with 2 inches recorded at Shed 7 (6400') in John F. Stevens Canyon and an inch or so in central Glacier Park. Today's forecast favors the mountains along the Montana/Idaho border with a foot or more snow. As is the case this season, we will receive the leftover scraps. Regardless, today's refresh may deliver up to 6-8 inches in the Swan and Flathead Range. Winds overnight ramped up and have been sustained strong with gale force gusts at the Aeneas Ridge station (7186') since midnight. Wind speeds at all mid and upper-elevation stations will be strong enough to transport snow throughout the day.
After around 12 days of LOW danger, we are increasing the hazard to MODERATE due to the new snow and primarily the wind.  Conditions this morning begin with LOW danger but are expected to rise if forecasted snow totals develop.
There remains a slim chance that you could trigger a slide on a buried weak layer resulting in a large avalanche. Thin, wind-swept, or rocky areas are locations where the layer is closest to the surface and where your weight is most likely to affect this weak snow.
Rob visited the Sixmile area of the Swan Range yesterday, where he found a melt-freeze crust of varying thickness and supportability. This crust was most robust and skiable on steep and sparsely treed southerly slopes. Elsewhere it was less consistent and required defensive skiing. He found up to 6 inches of well-preserved dry powder on the north and northeast slopes. Wind transport was surprising, considering the limited recent snow. Isolated and thin pockets of soft slab were trending toward reactive on leeward terrain along upper elevation ridges.
FAC will issue daily forecasts through Easter Sunday, April 9. Following this, we will issue snowpack updates several times a week through April if conditions dictate. 
 "
9,Rob Millspaugh,2023-03-31,Whitefish Range,"{'upper': 'Low', 'middle': 'Low', 'lower': 'Low'}",[],The snowpack is generally stable. Steer around steep slopes where the snow is thin and rocky to avoid triggering a slide on a buried weak layer. Travel with a partner and carry avalanche rescue gear.,"If you're looking to push the envelope today, push it towards slopes where the snowpack is deep and uniform. Our highest stations have seen only a few hours above freezing this month. This implies that a winter snowpack persists in the uppermost and shadiest reaches of the advisory area. Yesterday, Blase visited one such location on the North side of Nyack Mountain in the northern Flathead Range. There he found a weak and shallow snowpack on a rocky slope which required careful route finding. Although it is unlikely, this type of terrain is precisely where you could still trigger an avalanche on a buried weak layer. 
Mid-elevation weather stations in all ranges reached the mid-to upper-30s yesterday (Thursday) but dropped below freezing at dusk. Upper-elevation weather stations have remained below freezing since Wednesday. Temperature trends will be similar today. Cloud cover with ramping winds may slow the warming of the widespread melt-freeze crust or the overlying skiff of snow reported by backcountry observations. Like most of the month, the last day of March should be relatively lamb-like. Tomorrow, the lions come home. 
Give us some feedback and let us know more about your needs by completing the End-of-season Survey. Thanks to everyone who came out last night to enjoy Mark's talk about spring touring. It was great to see all of your smiling, goggle-tanned faces! "
