,location,Zone / Region,Observer Affiliation,Activity,Cloud Cover,Temperature (F),New or Recent Snowfall (cm),Rain/Snow Line,Snow Available For Transport,Wind Loading,Weather Summary,Observation Date,Submission Date,Observer Name,Observer type,Observation Summary,SIGNS OF INSTABILITY,Instability Comments,Latitude,Longitude,Route,Location,Distribution,Sensitivity,Size
0,Rescue,Flathead Range & Glacier NP,Flathead Avalanche Center,Skiing/Snowboarding,Clear (No clouds),34 to 50,None.,Not Observed,None,None,Clear skies and only a slight breeze in the afternoon.  Sunshine felt intense radiating off the snow.,"Mar 17, 2024 (9:00) - Mar 17, 2024 (15:00)","Mar 17, 2024",Sarah Williams,forecaster,"The avalanches were calling, so we headed to Rescue Basin to document the recent avalanche activity after two nights without freezing temperatures.

We used ski crampons on the skin into the basin.  The surface crust remained supportable up to 4200 feet. 
Temperatures in the sun were hot! The snow surface was quickly transitioning from crust to wet.
All the southern chutes in the basin had loose wet debris. We estimated that among the loose wet debris, there were 12 D2 avalanches and 3 D2.5 avalanches.
 The least avalanche activity was on north-facing slopes. We only observed rollerballs but exited before the day's peak heat.
We observed one fresh D3 slab avalanche that likely failed on March 16th (yesterday) on a northeast aspect of Nyack Mountain.
Our travel was limited to lower elevations. We chose a conservative route that did not have overhead hazards.
Today was the first day of the season that I skied down in the layer I skinned up in.  Skiing was slushy.",Avalanches Observed,Avalanches occurred in the past 48 hours.,48.402214,-114.13365,,,,,
1,Picture Chutes-Whitefish Mountain Resort,Whitefish Range,,Skiing/Snowboarding,,,,,,,,"Mar 17, 2024","Mar 17, 2024",Lloyd Morsett,public,Above average temperatures with no diurnal re-freeze for 2 days.,Avalanches Observed,,48.402214,-114.13365,,,,,
2,"Skook Chutes, Southern Whitefish Range",Whitefish Range,,Skiing/Snowboarding,,,,,,,,"Mar 17, 2024","Mar 17, 2024",Lloyd Morsett,public,Nearby weather station reported 50* F temp at 5 pm with intense solar input.,Avalanches Observed,,48.402214,-114.13365,,,,,
3,Lake McDonald,Flathead Range & Glacier NP,Flathead Avalanche Center,Driving,Clear (No clouds),50,Not Observed,Not Observed,Not Observed,None,,"Mar 16, 2024 (9:30 - 2:00)","Mar 16, 2024",Rob Millspaugh,forecaster,"Drove along the Northern Swan Range and up to Lake McDonald:

Recent activity in the northern Swan Range consisted of many small to large (D1-2) loose wet slides on S-SW-W-NW
Recent activity in the Lake McDonald area also included large (D2-2.5) slab avalanches on S and SW
All activity is assumed to have occured during the heat of the day on 3/15",Avalanches Observed,Large (D2-2.5) slab avalanches on S and SW.  Small to large (D1-2) loose wet S-SW-W-NW.,48.402214,-114.13365,Dashboard survey Bigfork to HH Dam to GNP,,,,
4,Firebrand Pass,Other,,Skiing/Snowboarding,,,,,,,,"Mar 16, 2024","Mar 16, 2024",,public,"Early bird get the... mashed potatoes? We went east today, seeing the mid 20s temperature readings at Maria's Pass overnight in hopes of a refreeze. What we found was a surprising mix of conditions. Low elevation tress had insulated yesterday's warm snow, meaning soft skinning conditions to start. We were pleasantly surprised to find much more supportable refreeze conditions when the terrain opened above tree line. We found a mix of wind board  and even some powder stashes on northern aspects. We noted several small point releases from yesterday's warmup on all aspects, but nothing larger than D1. One crown from a hard slab that failed >2-3 days ago (judging by the decomposing debris) on a rocky E facing aspect was spotted near Lena Lake. 

Despite the sun and paltry temps, we felt comfortable skiing steep south facing terrain in soft conditions and were back to car by 1315.",Avalanches Observed,,48.402214,-114.13365,,,,,
5,Highway 2/ Elk Mountain,Flathead Range & Glacier NP,Flathead Avalanche Center,Skiing/Snowboarding,"Few (Mostly Clear, up to 2/8 covered)",45,Not Observed,Not Observed,None,None,"Morning inversion gave way to very warm mid afternoon temps with nearly calm winds and scattered high, thin clouds.","Mar 16, 2024 (8:30 - 18:00)","Mar 16, 2024",blase reardon,forecaster,"Spent the morning avalanche gawking and cataloging, then skinned part way up Elk Mountain to get a feel for the snow. 

Multiple D2, D2.5 and D3 crowns from natural slab avalanches 3/15 and today. These were mostly on upper elevation, sunny slopes, which was also the most visible terrain. The crowns often linked across terrain features. Some looked to have been triggered by rollerballs, loose wet snow slides, or cornice falls. 
Noted some large (D2-2.5) wet snow avalanches, again on sunny/ windward slopes. 
Our ascent/ descent route to 7200 feet was free of overhead hazard and never exceeded 31 degrees. Anything else would have exposed us to today's multiple avalanche problems. 
Overnight inversions and mostly clear skies left a thin but supportable crust on the slopes where we traveled this afternoon. This would have made for excellent corn skiing, had we spent less time gawking and started earlier.

Camera glitches meant few decent photos. argh.",Avalanches Observed,,48.402214,-114.13365,"Highway 2 corridor to East Glacier, then up west ridge of Elk Mountain to ~7200 feet and return.",NESWNWNESESW,IsolatedSpecificWidespread,UnreactiveStubbornReactiveTouchy,D1D2D3D4D5
6,Bald face on stryker ridge,Whitefish Range,,Snowmobiling/Snowbiking,Clear (No clouds),60,Not Observed,Not Observed,Not Observed,Not Observed,,"Mar 16, 2024","Mar 17, 2024",,public,Road covered in wet snow.  It blew all the way over the road and went all the way down the slope.  There was enough snow to bury a snowmobile.,None Reported,Wet and heavy,48.402214,-114.13365,Snowmobiling around styker loop.  On the backside of the mountain around 5000 feet,,,,
7,Little Dog,Other,,Skiing/Snowboarding,,,,,,,,"Mar 15, 2024","Mar 15, 2024",Anders Soyland,public,"Good freeze last night, there was a bit of a punch through crust. I think it was a mix of wind and warming from the day before. The crust was about 2-3 inches thick and was supportive in some spots and not so supportive in others. There were no signs of instability or isolated hard slabs/wind slabs. We were back at the trailhead by 12:45. The south facing slope of Little Dog was really starting to warm up as we left.",None Reported,Just wet roller balls,48.402214,-114.13365,,,,,
8,Doris,Swan Range,Whitefish Professional Ski Patrol & The Patrol Fund,Snowmobiling/Snowbiking,Clear (No clouds),40,Not Observed,Not Observed,Small Amounts,None,,"Mar 15, 2024","Mar 15, 2024",JBurk,professional,"Rollerballs on solar aspects, propagating fracture on an ECT",Avalanches Observed,Rollerballs were observed on solar aspects. on my ride out i noticed a large wet slide o the West aspect of Great Northern that looked to have run almost full path,48.402214,-114.13365,,NESWNWNESESW,IsolatedSpecificWidespread,UnreactiveStubbornReactiveTouchy,D1D2D3D4D5
9,Hungry Horse Dam,Other,Flathead Avalanche Center,Driving,Clear (No clouds),Not Observed,Not Observed,Not Observed,Not Observed,Not Observed,,"Mar 15, 2024 (18:00) - Mar 15, 2024 (19:00)","Mar 15, 2024",Cam Johnson,forecaster,"Took a quick drive to the Hungry Horse Dam to inventory recent avalanche activity on the west side of the Flathead Range. 

Observed many Wet Loose avalanches and one slab avalanche. See the avalanche tab for more information.
Views were limited to west and northwest-facing slopes.",Avalanches Observed,,48.402214,-114.13365,,,,,
