,Metric,Last 24 Hours,Today,Tonight,Tomorrow,range,station,date
0,Cloud Cover,Mostly Clear,Mostly Clear,Mostly Clear,Mostly Clear,Flathead Range & Glacier NP,,2024-03-17
1,Temperatures,Low: 36° F | High: 50° F,41 to 49 ° F,28 to 32 ° F,43 to 51 ° F,Flathead Range & Glacier NP,,2024-03-17
2,Wind Direction,Southwest,Southwest,Southwest,West,Flathead Range & Glacier NP,,2024-03-17
3,Wind Speed,8G30 mph,6,7,9,Flathead Range & Glacier NP,,2024-03-17
4,Snowfall,"0""","0""","0""","0""",Flathead Range & Glacier NP,,2024-03-17
5,Snow Line,6000',6500',7000',7000',Flathead Range & Glacier NP,,2024-03-17
0,Cloud Cover,Mostly Clear,Partly Cloudy,Mostly Clear,Mostly Clear,Flathead Range & Glacier NP,,2024-03-16
1,Temperatures,Low: 24 ° F | High: 45° F,40 to 48 ° F,25 to 29 ° F,42 to 49 ° F,Flathead Range & Glacier NP,,2024-03-16
2,Wind Direction,Northwest,Northwest,East,Southwest,Flathead Range & Glacier NP,,2024-03-16
3,Wind Speed,4G14 mph,6,7,5,Flathead Range & Glacier NP,,2024-03-16
4,Snowfall,"0""","0""","0""","0""",Flathead Range & Glacier NP,,2024-03-16
5,Snow Line,5000',6500',6500',6500',Flathead Range & Glacier NP,,2024-03-16
0,Cloud Cover,Partly Cloudy,Partly Cloudy,Mostly Clear,Partly Cloudy,Flathead Range & Glacier NP,,2024-03-15
1,Temperatures,Low: 21 ° F | High: 33 ° F,38 to 46 ° F,23 to 28 ° F,39 to 47 ° F,Flathead Range & Glacier NP,,2024-03-15
2,Wind Direction,Northwest,Northwest,East,Southwest,Flathead Range & Glacier NP,,2024-03-15
3,Wind Speed,4G43 mph,7,6,5,Flathead Range & Glacier NP,,2024-03-15
4,Snowfall,"0""","0""","0""","0""",Flathead Range & Glacier NP,,2024-03-15
5,Snow Line,4500',5000',6500',6500',Flathead Range & Glacier NP,,2024-03-15
0,Cloud Cover,Partly Cloudy,Partly Cloudy,Mostly Clear,Partly Cloudy,Flathead Range & Glacier NP,,2024-03-14
1,Temperatures,Low: 23° F | High: 28 ° F,27 to 34 ° F,16 to 20 ° F,38 to 46 ° F,Flathead Range & Glacier NP,,2024-03-14
2,Wind Direction,Southwest,West,West,West,Flathead Range & Glacier NP,,2024-03-14
3,Wind Speed,3G8mph,8,7,6,Flathead Range & Glacier NP,,2024-03-14
4,Snowfall,"0""","0""","0""","0""",Flathead Range & Glacier NP,,2024-03-14
5,Snow Line,"3000""",3000',3500',4500',Flathead Range & Glacier NP,,2024-03-14
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-03-13
1,Temperatures,Low:  ° F | High: ° F,23 to 31 ° F,14 to 19 ° F,27 to 35 ° F,Flathead Range & Glacier NP,,2024-03-13
2,Wind Direction,West,West,West,West,Flathead Range & Glacier NP,,2024-03-13
3,Wind Speed,10G69 mph,12,7,7,Flathead Range & Glacier NP,,2024-03-13
4,Snowfall,"2""","0"" to 2""","0""","0""",Flathead Range & Glacier NP,,2024-03-13
5,Snow Line,4500',3000',3000',3000',Flathead Range & Glacier NP,,2024-03-13
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-03-12
1,Temperatures,Low:  24° F | High: 27° F,27 to 34 ° F,16 to 21 ° F,23 to 30 ° F,Flathead Range & Glacier NP,,2024-03-12
2,Wind Direction,Southwest,West,West,West,Flathead Range & Glacier NP,,2024-03-12
3,Wind Speed,9G46 mph,18,17,12,Flathead Range & Glacier NP,,2024-03-12
4,Snowfall,"3""","2"" to 4""","1"" to 2""","1""",Flathead Range & Glacier NP,,2024-03-12
5,Snow Line,4500',4500',3000',2500',Flathead Range & Glacier NP,,2024-03-12
0,Cloud Cover,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-03-11
1,Temperatures,Low: 28° F | High: 31 ° F,27 to 34 ° F,22 to 27 ° F,28 to 35 ° F,Flathead Range & Glacier NP,,2024-03-11
2,Wind Direction,South,West,Southwest,West,Flathead Range & Glacier NP,,2024-03-11
3,Wind Speed,17G75 mph,21G38,14,19G29,Flathead Range & Glacier NP,,2024-03-11
4,Snowfall,"8""","0"" to 3""","1"" to 3""","1"" to 4""",Flathead Range & Glacier NP,,2024-03-11
5,Snow Line,4000',3500',4500',4000',Flathead Range & Glacier NP,,2024-03-11
0,Cloud Cover,Partly Cloudy,Mostly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-03-10
1,Temperatures,Low: 26° F | High: 38° F,29 to 36 ° F,20 to 25 ° F,26 to 32 ° F,Flathead Range & Glacier NP,,2024-03-10
2,Wind Direction,Southwest,Southwest,Southwest,Southwest,Flathead Range & Glacier NP,,2024-03-10
3,Wind Speed,16G92 mph,18G30,23G37,23G38,Flathead Range & Glacier NP,,2024-03-10
4,Snowfall,"0""","1"" to 4""","4"" to 7""","1"" to 2""",Flathead Range & Glacier NP,,2024-03-10
5,Snow Line,4000',4000',4500',3500',Flathead Range & Glacier NP,,2024-03-10
0,Cloud Cover,Mostly Clear,Partly Cloudy,Mostly Cloudy,Mostly Cloudy,Flathead Range & Glacier NP,,2024-03-09
1,Temperatures,Low: 13° F | High: 29° F,35 to 43 ° F,20 to 25 ° F,29 to 36 ° F,Flathead Range & Glacier NP,,2024-03-09
2,Wind Direction,West,Southwest,Southwest,Southwest,Flathead Range & Glacier NP,,2024-03-09
3,Wind Speed,6G32 mph,14G28,22G36,18G30,Flathead Range & Glacier NP,,2024-03-09
